,Unnamed: 0,pr_id,ms_id,has_conflict,top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source
57764,57765,66,30611,1,5,1,5,8,0,8,1,1,1,12,0,12,13,1,13,1,1,1,1,1,19,2,18,36,6,38,19,1,18
10703,10704,12,1903,1,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,47,45,5,3,230,209,28,5109,4710,897,11,9,2
56216,56217,63,30779,1,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,5,3,3,1,26,23,4,53,44,9,4,2,2
73521,73522,99,127098,1,1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,11,9,3,1,52,43,10,258,284,24,3,2,1
64159,64160,78,104600,1,0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,1,1,1,1,1,1,1,5,2,2,2,1,1
57612,57613,63,92754,1,3,2,1,6,6,0,2,1,1,7,7,0,9,8,1,0,42,41,7,6,608,598,12,2471,2968,751,41,35,6
39159,39160,33,3734,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,9,5,6,3,115,27,89,288,63,244,12,3,9
39081,39082,33,1699,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,7,1,7,1,53,1,53,402,2,403,4,1,3
57823,57824,66,31105,1,2,2,0,11,10,1,1,0,0,12,12,0,13,12,1,0,1,1,1,1,16,16,1,27,33,3,19,18,1
46601,46602,46,83514,1,2,1,1,7,7,0,1,0,0,8,8,0,9,8,1,0,24,21,7,4,174,155,25,690,689,275,20,17,3
5481,5482,8,54086,1,4,1,3,3,0,3,1,1,1,6,0,6,7,1,6,0,15,3,15,3,338,7,333,414,15,469,12,2,10
69361,69362,88,120541,1,3,2,2,14,2,12,0,0,0,17,4,13,17,4,14,1,54,23,33,2,94,41,54,558,274,380,34,8,26
42369,42370,42,67940,1,2,1,2,16,0,16,1,1,1,17,0,17,18,1,18,1,92,1,92,1,189,6,184,759,11,936,49,1,48
25595,25596,19,37673,1,4,1,4,18,1,18,0,0,0,22,2,20,22,2,22,2,156,28,129,1,2033,228,1806,13446,2440,28558,323,34,289
1685,1686,6,2502,1,1,1,0,6,0,6,1,1,1,6,0,6,7,1,6,0,13,8,12,7,73,14,62,1738,807,2972,15,2,13
63978,63979,78,103585,1,2,1,1,4,0,4,1,1,1,5,0,5,6,1,5,0,6,1,6,1,16,1,16,73,4,71,8,1,7
67295,67296,84,102649,1,1,1,1,2,0,2,1,1,1,2,0,2,3,1,3,1,30,29,6,5,303,292,13,743,784,31,20,12,8
